A,B,D,P,E,T-test(window 12)
101|6419062|6421629|6422882|6422883|6425179|6425193,8622143,2020-04-17 13:49,2020-04-21 10:15,2020-04-21 18:30,2020-04-21 11:49
101|6419062|6421629|6422882|6422883|6425179|6425194,8622144,2020-05-28 14:13,2020-06-01 14:12,2020-06-01 14:21,2020-06-01 15:19
101|6419062|6421629|6422882|6422883|6425179|6425195,8622145,2020-06-01 14:16,2020-06-03 14:33,2020-06-03 14:43,2020-06-03 15:44
101|6419062|6421629|6422882|6422883|6425179|6425196,8622146,2020-01-31 14:45,2020-02-25 10:35,2020-02-25 13:12,2020-02-25 19:34
101|6419062|6421629|6422882|6422883|6425179|6469800,8726725,2020-02-25 10:45,2020-03-16 9:12,2020-03-16 17:59,2020-03-16 10:29
101|6419062|6421629|6422882|6422883|6425179|6469801,8726735,,,,
101|6419062|6421629|6422882|6422883|6425179|6469802,8726745,,,,
101|6419062|6421629|6422882|6422883|6425178|6425190,8622140,,,,
101|6419062|6421629|6422882|6422883|6425178|6425191,8622141,,,,
101|6419062|6421629|6422882|6422883|6425178|6425192,8622142,,,,
101|6419062|6421629|6422882|6422883|6425178|6479704,8642345,,,,
101|6419062|6421629|6422882|6422883|6425177|6425186,8622136,,,,
101|6419062|6421629|6422882|6422883|6425177|6425187,8622137,,,,
101|6419062|6421629|6422882|6422883|6425177|6425188,8622138,,,,
101|6419062|6421629|6422882|6422883|6425177|7925759,9368278,,,,
101|6419062|6421629|6422882|6422883|6425177|7957157,8622504,,,,
101|6419062|6421629|6422882|6422883|6425172|6425174,8622133,,,,
101|6419062|6421629|6422882|6422883|6425172|6425183,8622134,,,,
101|6419062|6421629|6422882|6422883|6425172|6425184,8622135,,,,
101|6419062|6421629|6422882|6422883|6549179|7957816,9449217,,,,
101|6419062|6421629|6422882|6422883|6549179|6549181,9149154,,,,
101|6419062|6421629|6422882|6422883|6549188|8021470,9648631,,,,
101|6419062|6421629|6422882|6422883|6549188|8021471,9648642,,,,
101|6419062|6421629|6422882|6422883|6549189|6549191,9161398,,,,
101|6419062|6421629|6422882|6422883|6549348|8021485,9648703,,,,
101|6419062|6421629|6422882|6422883|6549348|8021486,9648715,,,,
101|6419062|6421629|6422882|6422883|6549348|8021488,9648726,,,,
101|6419062|6421629|6422882|6425223|6425227|6425235,8622500,,,,
101|6419062|6421629|6422882|6425223|6425227|6469803,8726753,,,,
101|6419062|6421629|6422882|6425223|6425229|6425236,8622501,,,,
101|6419062|6421629|6422882|6425223|6425229|6425237,8622502,,,,
101|6419062|6421629|6422882|6425223|6425229|6425238,8622503,,,,
101|6419062|6421629|6422882|6425223|6425225|6425241,8622505,,,,
101|6419062|6421629|6422882|6425223|6425225|7925785,9368326,,,,
101|6419062|6421629|6422882|6425223|6425224|6425242,8622506,,,,
101|6419062|6421629|6422882|6425223|6425224|6425243,8622507,,,,
101|6419062|6421629|6422882|6425223|6425224|6425244,8622508,,,,
101|6419062|6421629|6422882|6425223|6549186|6549213,9161604,,,,
101|6419062|6421629|6422882|6425223|6549187|8021507,9648802,,,,
101|6419062|6421629|6422882|6425223|6549187|8021508,9648813,,,,
101|6419062|6421629|6422882|6425223|6549187|8021509,9648824,,,,
101|6419062|6421629|6422882|6425223|6549347|8021526,9648901,,,,
101|6419062|6421629|6422882|6425223|6549347|8021527,9648912,,,,
101|6419062|6421629|6422882|6425223|6549347|8021528,9648923,,,,
101|6419062|6421629|6422882|6425514|6425573|6425595|6481110|6481115,8336617,,,,
101|6419062|6421629|6422882|6425514|6425573|6425580,8649961,,,,
101|6419062|6421629|6422882|6425514|6425573|6425579,8649960,,,,
101|6419062|6421629|6422882|6425514|6425573|6425583,8649962,,,,
101|6419062|6421629|6422882|6425514|6425573|6425584,8649963,,,,
101|6419062|6421629|6422882|6425514|6425574|6425596|6481102|6481103,8350084,,,,
101|6419062|6421629|6422882|6425514|6425574|6425596|6481102|6481104,8352139,,,,
101|6419062|6421629|6422882|6425514|6425574|6425587,8420402,,,,
101|6419062|6421629|6422882|6425514|6425574|6425588,8420418,,,,
101|6419062|6421629|6422882|6425514|6425574|6425591,8420435,,,,
101|6419062|6421629|6422882|6425514|6425574|6425592,8420451,,,,
101|6419062|6421629|6422882|6425514|6549370|6549695|6549718|100534802,9166881,,,,
101|6419062|6421629|6422882|6425514|6549370|6549695|100534803|6549721,9166888,,,,
101|6419062|6421629|6422882|6425514|6549370|6549712,9166820,,,,
101|6419062|6421629|6422882|6425514|6549370|6549713,9166827,,,,
101|6419062|6421629|6422882|6425514|6549370|6549714,9166834,,,,
101|6419062|6421629|6422882|6425514|6549370|6549715,9166841,,,,
101|6419062|6421629|6422882|6425514|6549371|6549769,9167318,,,,
