selected model:  Density
Training time: 0.0 minutes.
selected model:  DTW
paramIndex: 8622144
cur(0), end(3670), percent[0.0%], dist(1.4)
cur(1), end(3670), percent[0.03%], dist(1.41)
cur(2), end(3670), percent[0.05%], dist(1.39)
cur(3), end(3670), percent[0.08%], dist(1.35)
cur(4), end(3670), percent[0.11%], dist(1.39)
cur(5), end(3670), percent[0.14%], dist(1.38)
cur(6), end(3670), percent[0.16%], dist(1.41)
cur(7), end(3670), percent[0.19%], dist(1.4)
cur(8), end(3670), percent[0.22%], dist(1.4)
cur(9), end(3670), percent[0.25%], dist(1.39)
cur(10), end(3670), percent[0.27%], dist(1.36)
cur(11), end(3670), percent[0.3%], dist(1.38)
cur(12), end(3670), percent[0.33%], dist(1.37)
cur(13), end(3670), percent[0.35%], dist(1.37)
cur(14), end(3670), percent[0.38%], dist(1.37)
cur(15), end(3670), percent[0.41%], dist(1.37)
cur(16), end(3670), percent[0.44%], dist(1.36)
cur(17), end(3670), percent[0.46%], dist(1.35)
cur(18), end(3670), percent[0.49%], dist(1.34)
cur(19), end(3670), percent[0.52%], dist(1.34)
cur(20), end(3670), percent[0.54%], dist(1.35)
cur(21), end(3670), percent[0.57%], dist(1.35)
cur(22), end(3670), percent[0.6%], dist(1.34)
cur(23), end(3670), percent[0.63%], dist(1.34)
cur(24), end(3670), percent[0.65%], dist(1.33)
cur(25), end(3670), percent[0.68%], dist(1.32)
cur(26), end(3670), percent[0.71%], dist(1.33)
cur(27), end(3670), percent[0.74%], dist(1.33)
cur(28), end(3670), percent[0.76%], dist(1.33)
cur(29), end(3670), percent[0.79%], dist(1.33)
cur(30), end(3670), percent[0.82%], dist(1.33)
cur(31), end(3670), percent[0.84%], dist(1.32)
cur(32), end(3670), percent[0.87%], dist(1.32)
cur(33), end(3670), percent[0.9%], dist(1.31)
cur(34), end(3670), percent[0.93%], dist(1.31)
cur(35), end(3670), percent[0.95%], dist(1.32)
cur(36), end(3670), percent[0.98%], dist(1.32)
cur(37), end(3670), percent[1.01%], dist(1.32)
cur(38), end(3670), percent[1.04%], dist(1.32)
cur(39), end(3670), percent[1.06%], dist(1.32)
cur(40), end(3670), percent[1.09%], dist(1.32)
cur(41), end(3670), percent[1.12%], dist(1.32)
cur(42), end(3670), percent[1.14%], dist(1.31)
cur(43), end(3670), percent[1.17%], dist(1.31)
cur(44), end(3670), percent[1.2%], dist(1.3)
cur(45), end(3670), percent[1.23%], dist(1.31)
cur(46), end(3670), percent[1.25%], dist(1.31)
cur(47), end(3670), percent[1.28%], dist(1.31)
cur(48), end(3670), percent[1.31%], dist(1.31)
cur(49), end(3670), percent[1.34%], dist(1.31)
cur(50), end(3670), percent[1.36%], dist(1.32)
cur(51), end(3670), percent[1.39%], dist(1.32)
cur(52), end(3670), percent[1.42%], dist(1.31)
cur(53), end(3670), percent[1.44%], dist(1.31)
cur(54), end(3670), percent[1.47%], dist(1.31)
cur(55), end(3670), percent[1.5%], dist(1.31)
cur(56), end(3670), percent[1.53%], dist(1.31)
cur(57), end(3670), percent[1.55%], dist(1.31)
cur(58), end(3670), percent[1.58%], dist(1.31)
cur(59), end(3670), percent[1.61%], dist(1.31)
cur(60), end(3670), percent[1.63%], dist(1.31)
cur(61), end(3670), percent[1.66%], dist(1.31)
cur(62), end(3670), percent[1.69%], dist(1.31)
cur(63), end(3670), percent[1.72%], dist(1.3)
cur(64), end(3670), percent[1.74%], dist(1.31)
cur(65), end(3670), percent[1.77%], dist(1.31)
cur(66), end(3670), percent[1.8%], dist(1.31)
cur(67), end(3670), percent[1.83%], dist(1.31)
cur(68), end(3670), percent[1.85%], dist(1.31)
cur(69), end(3670), percent[1.88%], dist(1.31)
cur(70), end(3670), percent[1.91%], dist(1.31)
cur(71), end(3670), percent[1.93%], dist(1.31)
cur(72), end(3670), percent[1.96%], dist(1.31)
cur(73), end(3670), percent[1.99%], dist(1.3)
cur(74), end(3670), percent[2.02%], dist(1.3)
cur(75), end(3670), percent[2.04%], dist(1.31)
cur(76), end(3670), percent[2.07%], dist(1.31)
cur(77), end(3670), percent[2.1%], dist(1.31)
cur(78), end(3670), percent[2.13%], dist(1.31)
cur(79), end(3670), percent[2.15%], dist(1.31)
cur(80), end(3670), percent[2.18%], dist(1.31)
cur(81), end(3670), percent[2.21%], dist(1.3)
cur(82), end(3670), percent[2.23%], dist(1.3)
cur(83), end(3670), percent[2.26%], dist(1.3)
cur(84), end(3670), percent[2.29%], dist(1.3)
cur(85), end(3670), percent[2.32%], dist(1.3)
cur(86), end(3670), percent[2.34%], dist(1.3)
cur(87), end(3670), percent[2.37%], dist(1.3)
cur(88), end(3670), percent[2.4%], dist(1.3)
cur(89), end(3670), percent[2.43%], dist(1.3)
cur(90), end(3670), percent[2.45%], dist(1.3)
cur(91), end(3670), percent[2.48%], dist(1.3)
cur(92), end(3670), percent[2.51%], dist(1.3)
