selected model:  Density
Training time: 0.0 minutes.
selected model:  DTW
paramIndex: 8622145
cur(0), end(2183), percent[0.0%], dist(0.61)
cur(1), end(2183), percent[0.05%], dist(0.59)
cur(2), end(2183), percent[0.09%], dist(0.58)
cur(3), end(2183), percent[0.14%], dist(0.59)
cur(4), end(2183), percent[0.18%], dist(0.58)
cur(5), end(2183), percent[0.23%], dist(0.58)
cur(6), end(2183), percent[0.27%], dist(0.59)
cur(7), end(2183), percent[0.32%], dist(0.58)
cur(8), end(2183), percent[0.37%], dist(0.59)
cur(9), end(2183), percent[0.41%], dist(0.59)
cur(10), end(2183), percent[0.46%], dist(0.59)
cur(11), end(2183), percent[0.5%], dist(0.59)
cur(12), end(2183), percent[0.55%], dist(0.59)
cur(13), end(2183), percent[0.6%], dist(0.59)
cur(14), end(2183), percent[0.64%], dist(0.59)
cur(15), end(2183), percent[0.69%], dist(0.59)
cur(16), end(2183), percent[0.73%], dist(0.59)
cur(17), end(2183), percent[0.78%], dist(0.6)
cur(18), end(2183), percent[0.82%], dist(0.6)
cur(19), end(2183), percent[0.87%], dist(0.59)
cur(20), end(2183), percent[0.92%], dist(0.6)
cur(21), end(2183), percent[0.96%], dist(0.59)
cur(22), end(2183), percent[1.01%], dist(0.6)
cur(23), end(2183), percent[1.05%], dist(0.6)
cur(24), end(2183), percent[1.1%], dist(0.6)
cur(25), end(2183), percent[1.15%], dist(0.6)
cur(26), end(2183), percent[1.19%], dist(0.59)
cur(27), end(2183), percent[1.24%], dist(0.59)
cur(28), end(2183), percent[1.28%], dist(0.59)
cur(29), end(2183), percent[1.33%], dist(0.6)
cur(30), end(2183), percent[1.37%], dist(0.6)
cur(31), end(2183), percent[1.42%], dist(0.6)
cur(32), end(2183), percent[1.47%], dist(0.6)
cur(33), end(2183), percent[1.51%], dist(0.6)
cur(34), end(2183), percent[1.56%], dist(0.6)
cur(35), end(2183), percent[1.6%], dist(0.6)
cur(36), end(2183), percent[1.65%], dist(0.6)
cur(37), end(2183), percent[1.69%], dist(0.6)
cur(38), end(2183), percent[1.74%], dist(0.6)
cur(39), end(2183), percent[1.79%], dist(0.6)
cur(40), end(2183), percent[1.83%], dist(0.6)
cur(41), end(2183), percent[1.88%], dist(0.6)
cur(42), end(2183), percent[1.92%], dist(0.6)
cur(43), end(2183), percent[1.97%], dist(0.6)
cur(44), end(2183), percent[2.02%], dist(0.6)
cur(45), end(2183), percent[2.06%], dist(0.6)
cur(46), end(2183), percent[2.11%], dist(0.6)
cur(47), end(2183), percent[2.15%], dist(0.6)
cur(48), end(2183), percent[2.2%], dist(0.6)
cur(49), end(2183), percent[2.24%], dist(0.6)
cur(50), end(2183), percent[2.29%], dist(0.6)
cur(51), end(2183), percent[2.34%], dist(0.6)
cur(52), end(2183), percent[2.38%], dist(0.6)
cur(53), end(2183), percent[2.43%], dist(0.6)
cur(54), end(2183), percent[2.47%], dist(0.6)
cur(55), end(2183), percent[2.52%], dist(0.6)
cur(56), end(2183), percent[2.57%], dist(0.6)
cur(57), end(2183), percent[2.61%], dist(0.6)
cur(58), end(2183), percent[2.66%], dist(0.6)
cur(59), end(2183), percent[2.7%], dist(0.6)
cur(60), end(2183), percent[2.75%], dist(0.6)
cur(61), end(2183), percent[2.79%], dist(0.6)
cur(62), end(2183), percent[2.84%], dist(0.6)
cur(63), end(2183), percent[2.89%], dist(0.6)
cur(64), end(2183), percent[2.93%], dist(0.6)
cur(65), end(2183), percent[2.98%], dist(0.6)
cur(66), end(2183), percent[3.02%], dist(0.6)
cur(67), end(2183), percent[3.07%], dist(0.6)
cur(68), end(2183), percent[3.11%], dist(0.61)
cur(69), end(2183), percent[3.16%], dist(0.6)
cur(70), end(2183), percent[3.21%], dist(0.61)
cur(71), end(2183), percent[3.25%], dist(0.61)
cur(72), end(2183), percent[3.3%], dist(0.6)
cur(73), end(2183), percent[3.34%], dist(0.61)
cur(74), end(2183), percent[3.39%], dist(0.6)
cur(75), end(2183), percent[3.44%], dist(0.6)
cur(76), end(2183), percent[3.48%], dist(0.61)
cur(77), end(2183), percent[3.53%], dist(0.6)
cur(78), end(2183), percent[3.57%], dist(0.6)
cur(79), end(2183), percent[3.62%], dist(0.61)
cur(80), end(2183), percent[3.66%], dist(0.6)
cur(81), end(2183), percent[3.71%], dist(0.6)
cur(82), end(2183), percent[3.76%], dist(0.6)
cur(83), end(2183), percent[3.8%], dist(0.6)
cur(84), end(2183), percent[3.85%], dist(0.6)
cur(85), end(2183), percent[3.89%], dist(0.6)
cur(86), end(2183), percent[3.94%], dist(0.6)
cur(87), end(2183), percent[3.99%], dist(0.6)
cur(88), end(2183), percent[4.03%], dist(0.6)
cur(89), end(2183), percent[4.08%], dist(0.6)
cur(90), end(2183), percent[4.12%], dist(0.6)
cur(91), end(2183), percent[4.17%], dist(0.61)
cur(92), end(2183), percent[4.21%], dist(0.61)
cur(93), end(2183), percent[4.26%], dist(0.6)
cur(94), end(2183), percent[4.31%], dist(0.6)
cur(95), end(2183), percent[4.35%], dist(0.6)
cur(96), end(2183), percent[4.4%], dist(0.6)
cur(97), end(2183), percent[4.44%], dist(0.6)
cur(98), end(2183), percent[4.49%], dist(0.6)
cur(99), end(2183), percent[4.54%], dist(0.6)
cur(100), end(2183), percent[4.58%], dist(0.6)
cur(101), end(2183), percent[4.63%], dist(0.6)
cur(102), end(2183), percent[4.67%], dist(0.6)
cur(103), end(2183), percent[4.72%], dist(0.6)
cur(104), end(2183), percent[4.76%], dist(0.6)
cur(105), end(2183), percent[4.81%], dist(0.61)
cur(106), end(2183), percent[4.86%], dist(0.61)
cur(107), end(2183), percent[4.9%], dist(0.61)
cur(108), end(2183), percent[4.95%], dist(0.61)
cur(109), end(2183), percent[4.99%], dist(0.61)
cur(110), end(2183), percent[5.04%], dist(0.61)
cur(111), end(2183), percent[5.08%], dist(0.61)
cur(112), end(2183), percent[5.13%], dist(0.61)
cur(113), end(2183), percent[5.18%], dist(0.61)
cur(114), end(2183), percent[5.22%], dist(0.61)
cur(115), end(2183), percent[5.27%], dist(0.61)
cur(116), end(2183), percent[5.31%], dist(0.61)
cur(117), end(2183), percent[5.36%], dist(0.61)
cur(118), end(2183), percent[5.41%], dist(0.61)
cur(119), end(2183), percent[5.45%], dist(0.61)
cur(120), end(2183), percent[5.5%], dist(0.61)
cur(121), end(2183), percent[5.54%], dist(0.61)
cur(122), end(2183), percent[5.59%], dist(0.61)
cur(123), end(2183), percent[5.63%], dist(0.61)
cur(124), end(2183), percent[5.68%], dist(0.61)
cur(125), end(2183), percent[5.73%], dist(0.61)
cur(126), end(2183), percent[5.77%], dist(0.61)
cur(127), end(2183), percent[5.82%], dist(0.61)
cur(128), end(2183), percent[5.86%], dist(0.61)
cur(129), end(2183), percent[5.91%], dist(0.61)
cur(130), end(2183), percent[5.96%], dist(0.61)
cur(131), end(2183), percent[6.0%], dist(0.61)
cur(132), end(2183), percent[6.05%], dist(0.61)
cur(133), end(2183), percent[6.09%], dist(0.61)
cur(134), end(2183), percent[6.14%], dist(0.61)
cur(135), end(2183), percent[6.18%], dist(0.61)
cur(136), end(2183), percent[6.23%], dist(0.61)
cur(137), end(2183), percent[6.28%], dist(0.61)
cur(138), end(2183), percent[6.32%], dist(0.61)
cur(139), end(2183), percent[6.37%], dist(0.61)
cur(140), end(2183), percent[6.41%], dist(0.61)
cur(141), end(2183), percent[6.46%], dist(0.61)
cur(142), end(2183), percent[6.5%], dist(0.61)
cur(143), end(2183), percent[6.55%], dist(0.61)
cur(144), end(2183), percent[6.6%], dist(0.61)
cur(145), end(2183), percent[6.64%], dist(0.61)
cur(146), end(2183), percent[6.69%], dist(0.61)
cur(147), end(2183), percent[6.73%], dist(0.61)
cur(148), end(2183), percent[6.78%], dist(0.61)
cur(149), end(2183), percent[6.83%], dist(0.61)
cur(150), end(2183), percent[6.87%], dist(0.61)
cur(151), end(2183), percent[6.92%], dist(0.61)
cur(152), end(2183), percent[6.96%], dist(0.61)
cur(153), end(2183), percent[7.01%], dist(0.61)
cur(154), end(2183), percent[7.05%], dist(0.61)
cur(155), end(2183), percent[7.1%], dist(0.61)
cur(156), end(2183), percent[7.15%], dist(0.61)
cur(157), end(2183), percent[7.19%], dist(0.61)
cur(158), end(2183), percent[7.24%], dist(0.61)
cur(159), end(2183), percent[7.28%], dist(0.61)
cur(160), end(2183), percent[7.33%], dist(0.61)
cur(161), end(2183), percent[7.38%], dist(0.61)
cur(162), end(2183), percent[7.42%], dist(0.61)
cur(163), end(2183), percent[7.47%], dist(0.61)
cur(164), end(2183), percent[7.51%], dist(0.61)
cur(165), end(2183), percent[7.56%], dist(0.61)
cur(166), end(2183), percent[7.6%], dist(0.61)
cur(167), end(2183), percent[7.65%], dist(0.61)
cur(168), end(2183), percent[7.7%], dist(0.61)
cur(169), end(2183), percent[7.74%], dist(0.61)
cur(170), end(2183), percent[7.79%], dist(0.61)
cur(171), end(2183), percent[7.83%], dist(0.61)
cur(172), end(2183), percent[7.88%], dist(0.61)
cur(173), end(2183), percent[7.92%], dist(0.61)
cur(174), end(2183), percent[7.97%], dist(0.61)
cur(175), end(2183), percent[8.02%], dist(0.61)
cur(176), end(2183), percent[8.06%], dist(0.61)
cur(177), end(2183), percent[8.11%], dist(0.61)
cur(178), end(2183), percent[8.15%], dist(0.61)
cur(179), end(2183), percent[8.2%], dist(0.61)
cur(180), end(2183), percent[8.25%], dist(0.61)
cur(181), end(2183), percent[8.29%], dist(0.61)
cur(182), end(2183), percent[8.34%], dist(0.61)
cur(183), end(2183), percent[8.38%], dist(0.61)
cur(184), end(2183), percent[8.43%], dist(0.61)
cur(185), end(2183), percent[8.47%], dist(0.61)
cur(186), end(2183), percent[8.52%], dist(0.61)
cur(187), end(2183), percent[8.57%], dist(0.61)
cur(188), end(2183), percent[8.61%], dist(0.61)
cur(189), end(2183), percent[8.66%], dist(0.61)
cur(190), end(2183), percent[8.7%], dist(0.61)
cur(191), end(2183), percent[8.75%], dist(0.61)
cur(192), end(2183), percent[8.8%], dist(0.61)
cur(193), end(2183), percent[8.84%], dist(0.61)
cur(194), end(2183), percent[8.89%], dist(0.61)
cur(195), end(2183), percent[8.93%], dist(0.61)
cur(196), end(2183), percent[8.98%], dist(0.61)
cur(197), end(2183), percent[9.02%], dist(0.61)
cur(198), end(2183), percent[9.07%], dist(0.61)
cur(199), end(2183), percent[9.12%], dist(0.61)
cur(200), end(2183), percent[9.16%], dist(0.61)
cur(201), end(2183), percent[9.21%], dist(0.61)
cur(202), end(2183), percent[9.25%], dist(0.61)
cur(203), end(2183), percent[9.3%], dist(0.61)
cur(204), end(2183), percent[9.34%], dist(0.61)
cur(205), end(2183), percent[9.39%], dist(0.61)
cur(206), end(2183), percent[9.44%], dist(0.61)
cur(207), end(2183), percent[9.48%], dist(0.61)
cur(208), end(2183), percent[9.53%], dist(0.61)
cur(209), end(2183), percent[9.57%], dist(0.61)
cur(210), end(2183), percent[9.62%], dist(0.61)
cur(211), end(2183), percent[9.67%], dist(0.61)
cur(212), end(2183), percent[9.71%], dist(0.61)
cur(213), end(2183), percent[9.76%], dist(0.61)
cur(214), end(2183), percent[9.8%], dist(0.61)
cur(215), end(2183), percent[9.85%], dist(0.61)
cur(216), end(2183), percent[9.89%], dist(0.61)
cur(217), end(2183), percent[9.94%], dist(0.61)
cur(218), end(2183), percent[9.99%], dist(0.61)
cur(219), end(2183), percent[10.03%], dist(0.61)
cur(220), end(2183), percent[10.08%], dist(0.61)
cur(221), end(2183), percent[10.12%], dist(0.61)
cur(222), end(2183), percent[10.17%], dist(0.61)
cur(223), end(2183), percent[10.22%], dist(0.61)
cur(224), end(2183), percent[10.26%], dist(0.61)
cur(225), end(2183), percent[10.31%], dist(0.61)
cur(226), end(2183), percent[10.35%], dist(0.61)
cur(227), end(2183), percent[10.4%], dist(0.61)
cur(228), end(2183), percent[10.44%], dist(0.61)
cur(229), end(2183), percent[10.49%], dist(0.61)
cur(230), end(2183), percent[10.54%], dist(0.61)
cur(231), end(2183), percent[10.58%], dist(0.61)
cur(232), end(2183), percent[10.63%], dist(0.61)
cur(233), end(2183), percent[10.67%], dist(0.61)
cur(234), end(2183), percent[10.72%], dist(0.61)
cur(235), end(2183), percent[10.77%], dist(0.61)
cur(236), end(2183), percent[10.81%], dist(0.61)
cur(237), end(2183), percent[10.86%], dist(0.61)
cur(238), end(2183), percent[10.9%], dist(0.61)
cur(239), end(2183), percent[10.95%], dist(0.61)
cur(240), end(2183), percent[10.99%], dist(0.61)
cur(241), end(2183), percent[11.04%], dist(0.61)
cur(242), end(2183), percent[11.09%], dist(0.61)
cur(243), end(2183), percent[11.13%], dist(0.61)
cur(244), end(2183), percent[11.18%], dist(0.61)
cur(245), end(2183), percent[11.22%], dist(0.61)
cur(246), end(2183), percent[11.27%], dist(0.61)
cur(247), end(2183), percent[11.31%], dist(0.61)
cur(248), end(2183), percent[11.36%], dist(0.61)
cur(249), end(2183), percent[11.41%], dist(0.61)
cur(250), end(2183), percent[11.45%], dist(0.61)
cur(251), end(2183), percent[11.5%], dist(0.61)
cur(252), end(2183), percent[11.54%], dist(0.61)
cur(253), end(2183), percent[11.59%], dist(0.61)
cur(254), end(2183), percent[11.64%], dist(0.61)
cur(255), end(2183), percent[11.68%], dist(0.61)
cur(256), end(2183), percent[11.73%], dist(0.61)
cur(257), end(2183), percent[11.77%], dist(0.61)
cur(258), end(2183), percent[11.82%], dist(0.61)
cur(259), end(2183), percent[11.86%], dist(0.61)
cur(260), end(2183), percent[11.91%], dist(0.61)
cur(261), end(2183), percent[11.96%], dist(0.61)
cur(262), end(2183), percent[12.0%], dist(0.61)
cur(263), end(2183), percent[12.05%], dist(0.61)
cur(264), end(2183), percent[12.09%], dist(0.61)
cur(265), end(2183), percent[12.14%], dist(0.61)
cur(266), end(2183), percent[12.19%], dist(0.61)
cur(267), end(2183), percent[12.23%], dist(0.61)
cur(268), end(2183), percent[12.28%], dist(0.61)
cur(269), end(2183), percent[12.32%], dist(0.61)
cur(270), end(2183), percent[12.37%], dist(0.61)
cur(271), end(2183), percent[12.41%], dist(0.61)
