act_time,pH,Engineer,Density,CNN-AE,LSTM-AE,DTW
2020-06-01 14:14,12.211187,,,,,
2020-06-01 14:19,12.20743,12.20743,,,,
2020-06-01 14:24,12.20069,12.20069,,,,
2020-06-01 14:29,12.187141,,,,,
2020-06-01 14:34,12.175741,,,,,
2020-06-01 14:39,12.168055,,,,,
2020-06-01 14:44,12.158831,,,,,
2020-06-01 14:49,12.147334,,,,,
2020-06-01 14:54,12.135194,,,,,
2020-06-01 14:59,12.123167,,,,,
2020-06-01 15:04,12.109953,,,,,
2020-06-01 15:09,12.097034,,,,,
2020-06-01 15:14,12.081662,,,,,
2020-06-01 15:19,12.067322,,,,,
2020-06-01 15:24,12.049673,,,,,
2020-06-01 15:29,12.033618,,,,,
2020-06-01 15:34,12.015203,,,,,
2020-06-01 15:39,11.995455,,,,,
2020-06-01 15:44,11.974436,,,,,
2020-06-01 15:49,11.952996,,,,,
2020-06-01 15:54,11.930963,,,,,
2020-06-01 15:59,11.907157,,,,,
2020-06-01 16:04,11.881319,,,,,
2020-06-01 16:09,11.854582,,,,,
2020-06-01 16:14,11.827142,,,,,
2020-06-01 16:19,11.798742,,,,,
2020-06-01 16:24,11.76708,,,,,
2020-06-01 16:29,11.731272,,,,,
2020-06-01 16:34,11.697144,,,,,
2020-06-01 16:39,11.659205,,,,,
2020-06-01 16:44,11.615994,,,,,
2020-06-01 16:49,11.57071,,11.57071,,,
2020-06-01 16:54,11.522466,,11.522466,,,
2020-06-01 16:59,11.470136,,11.470136,11.470136,,
2020-06-01 17:04,11.414705,,11.414705,11.414705,,
2020-06-01 17:09,11.352352,,11.352352,11.352352,,
2020-06-01 17:14,11.28911,,11.28911,11.28911,,
2020-06-01 17:19,11.209002,,11.209002,11.209002,,
2020-06-01 17:24,11.125043,,11.125043,11.125043,,
2020-06-01 17:29,11.05479,,11.05479,11.05479,,
2020-06-01 17:34,10.98604,,10.98604,10.98604,,
2020-06-01 17:39,10.933558,,10.933558,10.933558,,
2020-06-01 17:44,11.20958,,11.20958,11.20958,,
2020-06-01 17:49,11.44766,,,11.44766,11.44766,
2020-06-01 17:54,11.473046,,,11.473046,11.473046,
2020-06-01 17:59,11.456925,,,11.456925,11.456925,
2020-06-01 18:04,11.416446,,,11.416446,11.416446,
2020-06-01 18:09,11.364996,,,11.364996,11.364996,
2020-06-01 18:14,11.305334,,,11.305334,11.305334,
2020-06-01 18:19,11.238968,,,11.238968,11.238968,11.238968
2020-06-01 18:24,11.169194,,,11.169194,11.169194,11.169194
2020-06-01 18:29,11.098261,,,11.098261,11.098261,11.098261
2020-06-01 18:34,11.027115,,,11.027115,11.027115,11.027115
2020-06-01 18:39,10.959895,,,10.959895,10.959895,10.959895
2020-06-01 18:44,10.982039,,,,10.982039,10.982039
2020-06-01 18:49,11.34372,,,,,11.34372
2020-06-01 18:54,11.457314,,,,,11.457314
2020-06-01 18:59,11.461435,,,,,11.461435
2020-06-01 19:04,11.428922,,,,,11.428922
2020-06-01 19:09,11.375809,,,,,11.375809
2020-06-01 19:14,11.313632,,,,,11.313632
2020-06-01 19:19,11.245146,,,,,
2020-06-01 19:24,11.173954,,,,,
2020-06-01 19:29,11.102003,,,,,
2020-06-01 19:34,11.030772,,,,,
2020-06-01 19:39,10.964605,,,,,
2020-06-01 19:44,10.96104,,,,,
2020-06-01 19:49,11.319602,,,,,
2020-06-01 19:54,11.462756,,,,,
2020-06-01 19:59,11.468169,,,,,
2020-06-01 20:04,11.432671,,,,,
2020-06-01 20:09,11.375299,,,,,
2020-06-01 20:14,11.308476,,,,,
2020-06-01 20:19,11.231947,,,,,
2020-06-01 20:24,11.143292,,,,,
2020-06-01 20:29,11.067753,,,,,
2020-06-01 20:34,10.999335,,,,,
2020-06-01 20:39,10.937851,,,,,
2020-06-01 20:44,11.076096,,,,,
2020-06-01 20:49,11.401044,,,,,
2020-06-01 20:54,11.454634,,,,,
2020-06-01 20:59,11.440735,,,,,
2020-06-01 21:04,11.392204,,,,,
2020-06-01 21:09,11.329613,,,,,
2020-06-01 21:14,11.261387,,,,,
2020-06-01 21:19,11.189319,,,,,
2020-06-01 21:24,11.118089,,,,,
2020-06-01 21:29,11.048752,,,,,
2020-06-01 21:34,10.985095,,,,,
2020-06-01 21:39,10.933837,,,,,
2020-06-01 21:44,11.143492,,,,,
2020-06-01 21:49,11.420997,,,,,
2020-06-01 21:54,11.449836,,,,,
2020-06-01 21:59,11.426425,,,,,
2020-06-01 22:04,11.372438,,,,,
2020-06-01 22:09,11.306583,,,,,
2020-06-01 22:14,11.2358,,,,,
2020-06-01 22:19,11.164311,,,,,
2020-06-01 22:24,11.094973,,,,,
2020-06-01 22:29,11.029198,,,,,
2020-06-01 22:34,10.967847,,,,,
2020-06-01 22:39,10.944923,,,,,
2020-06-01 22:44,11.240229,,,,,
2020-06-01 22:49,11.438281,,,,,
2020-06-01 22:54,11.446703,,,,,
2020-06-01 22:59,11.411134,,,,,
2020-06-01 23:04,11.349504,,,,,
2020-06-01 23:09,11.280845,,,,,
2020-06-01 23:14,11.20782,,,,,
2020-06-01 23:19,11.135995,,,,,
2020-06-01 23:24,11.067959,,,,,
2020-06-01 23:29,11.005279,,,,,
2020-06-01 23:34,10.946424,,,,,
2020-06-01 23:39,10.989734,,,,,
2020-06-01 23:44,11.326811,,,,,
2020-06-01 23:49,11.435982,,,,,
2020-06-01 23:54,11.431516,,,,,
2020-06-01 23:59,11.390441,,,,,
2020-06-02 0:04,11.328985,,,,,
2020-06-02 0:09,11.262013,,,,,
2020-06-02 0:14,11.192993,,,,,
2020-06-02 0:19,11.126221,,,,,
2020-06-02 0:24,11.062397,,,,,
2020-06-02 0:29,11.003652,,,,,
2020-06-02 0:34,10.951051,,,,,
2020-06-02 0:39,10.998078,,,,,
2020-06-02 0:44,11.317261,,,,,
2020-06-02 0:49,11.411933,,,,,
2020-06-02 0:54,11.38685,,,,,
2020-06-02 0:59,11.330919,,,,,
2020-06-02 1:04,11.252907,,,,,
2020-06-02 1:09,11.178324,,,,,
2020-06-02 1:14,11.100019,,,,,
2020-06-02 1:19,11.031712,,,,,
2020-06-02 1:24,10.966284,,,,,
2020-06-02 1:29,10.940621,,,,,
2020-06-02 1:34,11.220614,,,,,
2020-06-02 1:39,11.425475,,,,,
2020-06-02 1:44,11.437683,,,,,
2020-06-02 1:49,11.406069,,,,,
2020-06-02 1:54,11.349868,,,,,
2020-06-02 1:59,11.283998,,,,,
2020-06-02 2:04,11.213684,,,,,
2020-06-02 2:09,11.145235,,,,,
2020-06-02 2:14,11.079301,,,,,
2020-06-02 2:19,11.018134,,,,,
2020-06-02 2:24,10.960935,,,,,
2020-06-02 2:29,10.957199,,,,,
2020-06-02 2:34,11.253911,,,,,
2020-06-02 2:39,11.416647,,,,,
