value,method
11.4644,normal
11.387926,normal
11.308844,normal
11.228104,normal
11.14082,normal
11.057595,normal
10.994446,normal
11.406901,normal
11.53713,normal
11.505199,normal
11.440373,normal
11.365973,normal
11.287974,normal
11.209072,normal
11.132174,normal
11.057874,normal
10.994167,normal
11.436812,normal
11.546365,normal
11.504004,normal
11.438481,normal
11.365774,normal
11.290257,normal
11.210166,normal
11.135116,normal
11.062809,normal
10.996623,normal
11.364351,normal
11.590158,normal
11.549249,normal
11.476555,normal
11.399064,normal
11.325857,normal
11.251388,normal
11.176221,normal
11.103591,normal
11.03451,normal
11.036395,normal
11.566705,normal
11.615562,normal
11.552877,normal
11.470219,normal
11.384655,normal
11.302199,normal
11.225307,normal
11.151938,normal
11.079086,normal
11.012257,normal
11.202523,normal
11.585638,normal
11.575334,normal
11.513744,normal
11.426035,normal
11.334004,normal
11.245915,normal
11.164281,normal
11.092889,normal
11.026803,normal
11.080978,normal
11.571403,normal
11.598064,normal
11.552107,normal
11.484127,normal
11.402582,normal
11.310533,normal
11.219728,normal
11.135315,normal
11.058013,normal
10.995602,normal
11.339202,normal
11.548145,normal
11.523603,normal
11.45941,normal
11.386481,normal
11.308067,normal
11.229202,normal
11.144161,normal
11.061312,normal
10.9905,normal
11.374051,normal
11.535419,normal
11.510043,normal
11.447867,normal
11.374573,normal
11.297982,normal
11.219944,normal
11.143961,normal
11.068527,normal
10.994141,normal
11.384567,normal
11.559579,normal
11.520874,normal
11.456462,normal
11.387028,normal
11.310928,normal
11.235049,normal
11.159293,normal
11.085931,normal
11.01662,normal
11.176947,normal
11.579879,normal
11.561379,normal
11.491331,normal
11.411966,normal
11.337794,normal
11.261596,normal
11.186227,normal
11.111757,normal
11.040684,normal
11.017983,normal
11.528672,normal
11.595178,normal
11.53794,normal
11.453741,normal
11.364597,normal
11.277231,normal
11.198544,normal
11.124511,normal
11.054491,normal
10.990888,normal
11.408094,normal
11.597543,normal
11.567329,normal
11.503186,normal
11.425901,normal
11.332141,normal
11.24029,normal
11.155623,normal
11.077576,normal
11.009002,normal
11.226379,normal
11.558077,normal
11.548955,normal
11.48915,normal
11.415005,normal
11.332818,normal
11.239428,normal
11.148228,normal
11.065655,normal
10.992703,normal
11.360576,normal
11.557555,normal
11.53204,normal
11.468347,normal
11.394894,normal
11.314148,normal
11.232342,normal
11.151313,normal
11.068693,normal
10.993119,normal
11.39304,normal
11.536732,normal
11.500202,normal
11.434951,normal
11.361129,normal
11.281347,normal
11.200429,normal
11.120972,normal
11.046081,normal
11.006831,normal
11.498985,normal
